# Speed Limit System Log
# Format: [TIMESTAMP] SPEED(km/h) | TYPE | HAZARDS | MODELS | REASONING | REUSED
# ================================================================================

[2025-11-25 23:24:53] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-27 21:26:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:28:48]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:29:17] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:29:47]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:30:17] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:30:47] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:31:17] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:32:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:33:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:34:22]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-27 21:35:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:36:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:37:21]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:38:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:39:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:40:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:41:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:42:21]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:43:22]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:44:21]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:45:22]  50 km/h | LLM_ONLY   | Hazards: Weather, Air    | Models: LLM:50               | LLM service contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 21:46:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:47:22]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:48:21]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:49:21]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:50:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:51:22]  50 km/h | LLM_ONLY   | Hazards: Weather, Air    | Models: LLM:50               | LLM service contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 21:52:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:53:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:54:21]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:55:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:56:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:57:22]  50 km/h | LLM_ONLY   | Hazards: Weather, Air    | Models: LLM:50               | LLM service contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 21:58:22]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 21:59:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:02:00]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-27 22:02:29] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:02:59] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:03:29] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:03:59]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 22:04:29]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 22:05:21]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 22:06:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:07:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:08:22]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 22:09:22]  50 km/h | LLM_ONLY   | Hazards: Weather, Air    | Models: LLM:50               | LLM service contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 22:14:57] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:15:27] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:15:57] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:16:27]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 22:16:57]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 22:17:27]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 22:18:34]  50 km/h | LLM_ONLY   | Hazards: Weather, Air    | Models: LLM:50               | LLM service contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 22:19:34] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:20:34]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 22:21:34] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:22:34] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 22:23:34]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 22:24:34]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-27 22:25:34]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:08:29] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:09:00]  60 km/h | LLM_ONLY   | Hazards: Weather, Air    | Models: LLM:60               | LLM service contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 00:09:29] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:09:59] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:10:29]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:10:59]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:11:56]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:11:56]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected; (Result reused from cache due to throttling) | [REUSED]
[2025-11-29 00:12:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:12:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-29 00:13:56]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:13:56]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected; (Result reused from cache due to throttling) | [REUSED]
[2025-11-29 00:14:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:14:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-29 00:15:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:15:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-29 00:17:03] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:17:33]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:18:03]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:18:33]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:19:03]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:19:33] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:20:59]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:21:29]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:21:59] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:22:29] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:23:23] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:23:52] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:24:22]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:24:52] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:25:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:25:52] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:26:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:28:13] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:28:43]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:29:13]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:29:43]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:30:13]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:30:43]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:31:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:32:06]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:32:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:33:06]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:33:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:34:06]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:34:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:35:56]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:36:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:37:56]  80 km/h | FALLBACK   | Hazards: Weather         | Models: None                 | System fallback due to invalid inputs or model failure; Weather conditions detected | [NEW]
[2025-11-29 00:39:37] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:40:07] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:40:37] 130 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:130               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 00:41:07] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:41:37] 130 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:130               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 00:42:07] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:42:53] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:43:23]  30 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:30                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 00:43:53] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:44:23]  30 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:30                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 00:44:53]  50 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:50               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 00:45:23]  30 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:30                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 00:45:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:46:56]  30 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:30                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 00:48:14] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 00:48:44] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 01:01:33] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 01:02:03] 110 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:110               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 01:02:33] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 01:02:40] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 01:03:03]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 01:03:33] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 01:04:03] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 01:04:56]  50 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:50               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 01:05:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 01:06:56] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 01:23:08] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 01:23:38]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 01:24:08] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 01:24:38] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 06:43:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 06:44:33]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 06:45:04]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 06:45:33] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 06:46:03]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 06:46:33]  60 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:90, LLM:60        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 06:47:03]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 06:47:33] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 06:48:34] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 06:49:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 07:07:28] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 07:08:09] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 07:08:51]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 07:33:14] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:05:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:38:13] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 08:40:34] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:41:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:42:17] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:48:04] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:49:03]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 08:50:03] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:51:03] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:52:03]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:90, LLM:50        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 08:53:03] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:54:03] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 08:54:42] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:55:12] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:55:43]  60 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:90, LLM:60        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 08:56:12] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:56:42]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 08:57:12]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:90, LLM:50        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 08:57:42] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:58:44] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 08:58:44] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-29 09:20:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:21:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:21:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:22:06] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:22:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:23:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:23:36] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:24:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:24:36] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:25:07] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:25:36] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:26:06] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:26:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:27:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:27:36] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:28:06]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:28:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:29:06] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:29:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:30:06]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
